,Location,Latitude,Longitude,Altitude
339,station_339,27.8241,83.78219,1007.0
340,station_340,27.85833,83.3507,1544.0
341,station_341,27.86715,83.6886,1722.0
342,station_342,27.86674,83.45471,1361.0
343,station_343,27.76465,83.47024,797.0
344,station_344,28.25,82.83333,1569.0
345,station_345,28.13282,82.69597,1320.0
346,station_346,27.93301,82.94194,395.0
347,station_347,28.25377,83.03231,1291.0
348,station_348,28.14881,82.98607,1201.0
349,station_349,28.07563,82.91985,1259.0
350,station_350,28.04734,82.77364,1038.0
351,station_351,28.25316,82.91058,1813.0
352,station_352,27.94505,82.83908,634.0
353,station_353,28.344170708,82.628061641,1519.0
354,station_354,28.32627,82.51661,1734.0
355,station_355,28.26587,82.81048,1526.0
356,station_356,28.40239,82.50796,1219.0
357,station_357,28.344170708,82.628061641,1519.0
358,station_358,28.17731,82.51468,1785.0
359,station_359,28.38025,82.83012,1999.0
360,station_360,28.344170708,82.628061641,1519.0
361,station_361,28.45897,82.74293,2701.0
362,station_362,28.31085,82.43084,1427.0
363,station_363,28.56659,82.68457,2013.0
364,station_364,28.65782,82.807,2186.0
365,station_365,28.7806,82.67425,2554.0
366,station_366,27.63345,83.57195,134.0
367,station_367,27.46987,83.24785,96.0
368,station_368,27.70746,83.30405,135.0
369,station_369,27.50495,83.43688,108.0
370,station_370,27.6109,83.49071,124.0
371,station_371,27.59386,83.26242,127.0
372,station_372,27.63796,83.26374,118.0
373,station_373,27.576640942,83.38953577,108.0
374,station_374,27.41166,83.37358,102.0
375,station_375,27.51435,83.36778,103.0
376,station_376,27.5251,83.50926,117.0
377,station_377,27.50103,83.5515,106.0
378,station_378,27.44609,83.34465,98.0
379,station_379,27.5697,83.37717,109.0
380,station_380,27.61418,83.3671,118.0
381,station_381,27.67465,85.32364,1326.0
382,station_382,27.69093,84.42484,191.0
383,station_383,27.71711,85.4318,1493.0
384,station_384,27.67441,85.36008,1319.0
385,station_385,27.666279993796,85.428742542665,1322.0
386,station_386,27.6768,84.43589,213.0
387,station_387,27.69543,85.766,1075.0
388,station_388,27.61623,84.56904,201.0
389,station_389,27.43461,84.35334,232.0
390,station_390,27.64944,84.66375,418.0
391,station_391,27.61541,84.51206,196.0
392,station_392,27.80278,84.58055,1040.0
393,station_393,27.72283,85.17161,971.0
394,station_394,27.86424,84.9283,1461.0
395,station_395,27.74682,84.75988,943.0
396,station_396,27.76708,84.86147,1033.0
397,station_397,27.78044,84.98979,878.0
398,station_398,28.09141,84.92378,2325.0
399,station_399,27.92024,84.79439,845.0
400,station_400,28.03868,85.00189,1308.0
401,station_401,27.98994,84.97375,1618.0
402,station_402,28.22589,85.08414,2419.0
403,station_403,27.84644,84.83869,679.0
404,station_404,27.72709,85.09538,1300.0
405,station_405,27.9407,84.78035,1163.0
406,station_406,27.67855,86.02374,2056.0
407,station_407,27.63275,86.22571,1943.0
408,station_408,27.63653,86.13459,1666.0
409,station_409,27.84049,86.01372,3572.0
410,station_410,27.88281,86.40671,4032.0
411,station_411,27.78933,86.0898,1720.0
412,station_412,27.51633,86.07123,1329.0
413,station_413,27.61418,85.97999,1948.0
414,station_414,27.54264,86.1239,2120.0
415,station_415,27.70819,85.30569,1313.0
416,station_416,27.77715,85.36395,1455.0
417,station_417,27.68696,85.23522,1418.0
418,station_418,27.60479,85.27292,1440.0
419,station_419,27.76527,85.40792,1625.0
420,station_420,27.73165,85.41696,1376.0
421,station_421,27.68221,85.27269,1377.0
422,station_422,27.72427,85.26045,1537.0
423,station_423,27.75297,85.5037,1626.0
424,station_424,27.77716,85.29068,1386.0
425,station_425,27.7749,85.33492,1363.0
426,station_426,27.63245,85.52192,1475.0
427,station_427,27.6221,85.54281,1480.0
428,station_428,27.70725,85.59814,881.0
429,station_429,27.55556,85.63653,1217.0
430,station_430,27.58466,85.52122,1438.0
