Location,Latitude,Longitude,Altitude
Gundi,28.03,84.93,1042.0
Arughat,28.03,84.82,674.0
Chanuwa,27.15,87.28,1018.0
Dandagaon,27.17,87.32,1394.0
Jaleswor,27.15,87.33,1334.0
Marek Katrahe,27.13,87.37,1805.0
Mahalaxmi Municipality,27.12,87.32,1330.0
Leguwa,27.1,87.28,991.0
Nunthala,27.1,87.37,2154.0
Murtidunga,27.08,87.35,1631.0
Arkahule,27.12,87.32,1134.0
Pakhrebas,27.07,87.23,1096.0
Hattikharka,27.07,87.32,1481.0
SIshuwa Bazar,27.07,87.38,2097.0
Mugha,27.02,87.23,1003.0
Khoku,26.98,87.2,764.0
Chunwang,27.0,87.25,1266.0
Dhankuta,26.97,87.32,722.0
Tankhuwa,26.97,86.38,1072.0
Kurulw Tenupa,26.93,87.48,1270.0
Bodhe,26.93,87.42,1034.0
Moana Budhuk,26.9,87.43,1270.0
Dudhabare,26.87,87.53,1616.0
Mulghat,26.92,87.32,351.0
Ankhisalla,26.93,87.25,1057.0
Chintang,26.93,87.18,999.0
Bhedetar,26.85,87.32,1154.0
Rajarani,26.9,87.42,1575.0
Lalgadh,26.97,85.92,256.0
Mithila,26.93,85.95,212.0
Ganeshmancharnath,26.95,86.1,225.0
Bharat Pur,26.88,86.08,150.0
Hariharpur,26.9,85.98,168.0
Baleswor,26.88,85.93,150.0
Dhanusa,26.83,86.0,131.0
Sapahe,26.8,85.93,110.0
Tarapati Sirsaha,26.78,85.98,110.0
Raghunathpur,26.82,86.12,111.0
Khariyali,26.75,86.08,109.0
Kurtha,26.75,85.88,109.0
Janakpur,26.72,85.93,111.0
Nagarain,26.63,85.92,110.0
Chakkar,26.7,86.03,111.0
Harine,26.73,86.15,110.0
Balahakhatal,26.63,86.13,104.0
Lakhauri,26.67,86.0,84.0
Lohana,26.68,85.95,103.0
Phulgama,26.63,85.9,84.0
Lamabagar,27.98,86.18,2904.0
bigu,27.83,86.05,2162.0
Palpalkharka,27.82,86.03,2932.0
Dolakha,27.78,86.17,2180.0
Abare,27.77,86.12,1865.0
Lapilam,27.73,86.08,1662.0
Kalinchok,27.73,86.02,3355.0
Lamidanda,27.72,86.13,1786.0
SUnkhani,27.7,86.1,1513.0
Bocha,27.7,85.97,2753.0
Kabhre,27.63,86.13,1934.0
Jiri,27.62,86.22,2043.0
Bihimeswor Municipality,27.65,86.02,1628.0
Pauwati,27.57,86.05,1610.0
Chama,27.52,86.13,1443.0
Melung,27.5,86.05,1195.0
Sailunge Danda,27.57,86.0,2551.0
Jule,27.55,86.12,1899.0
Katakuti,27.6,85.97,2017.0
Dudhpokhari,27.6,85.93,2414.0
Sailung,27.65,85.92,1780.0
namdu,27.63,86.1,1553.0
