Municipality,latitude,longitude,altitude
Haripurwa Municipality,26.89601,85.68485,100.0
Hariwan Municipality,27.09165,85.58205,149.0
Ishworpur Municipality,27.0048,85.61587,123.0
Kabilasi Municipality,27.89754,85.29511,1257.0
Lalbandi Municipality,27.05429,85.63239,152.0
Malangawa Municipality,26.85559,85.55996,87.0
Basbariya Rural Municipality,27.066,85.00138,106.0
Bishnu Rural Municipality,26.8309,85.49052,81.0
Bramhapuri Rural Municipality,26.88788,85.6127,88.0
Chakraghatta Rural Municipality,26.89465,85.52807,93.0
Chandranagar Rural Municipality,26.93626,85.60454,101.0
Dhankaul Rural Municipality,26.90299,85.43744,86.0
Kaudena Rural Municipality,26.86177,85.50894,87.0
Parsa Rural Municipality,26.88216,85.63519,91.0
Ramnagar Rural Municipality,26.85201,85.38723,83.0
Dhangadhimai Municipality,26.80999,86.42795,207.0
Golbazar Municipality,26.80322,86.3346,152.0
Kalyanpur Municipality,26.76345,86.20346,93.0
Karjanha Municipality,26.84219,86.21497,122.0
Lahan Municipality,26.7125,86.48811,122.0
Mirchaiya Municipality,26.85932,86.17007,106.0
Siraha Municipality,26.7125,86.48811,122.0
Sukhipur Municipality,26.70995,86.34997,104.0
Arnama Rural Municipality,26.69381,86.28559,94.0
Aurahi Rural Municipality,26.62763,86.3004,82.0
Bariyarpatti Rural Municipality,26.63194,86.34527,86.0
Bhagawanpur Rural Municipality,26.59148,86.48686,88.0
Bishnupur Rural Municipality,26.72635,86.24977,95.0
Laxmipur Patari Rural Municipality,26.6702,86.3922,99.0
Naraha Rural Municipality,26.746454493,86.342424177,122.0
Nawarajpur Rural Municipality,26.59806,86.40927,91.0
Sakhuwanankarkatti Rural Municipality,26.63894,86.50025,108.0
Bhumekasthan Municipality,27.98799,83.17605,1013.0
Sandhikharka Municipality,27.97263,83.12486,954.0
Sitganga Municipality,27.83968,82.98723,1207.0
Chhatradev Rural Municipality,28.01024,83.20679,967.0
Malarani Rural Municipality,28.06702,83.07274,1769.0
Panini Rural Municipality,27.88416,83.25291,1058.0
Kohalpur Municipality,28.22553,81.72842,179.0
Baijanath Rural Municipality,28.24311,81.65924,174.0
Duduwa Rural Municipality,28.0332,81.71051,140.0
Janki Rural Municipality,28.087173474,81.822276922,155.0
Khajura Rural Municipality,28.07408,81.62037,147.0
Narainapur Rural Municipality,27.90277,81.84215,139.0
Rapti Sonari Rural Municipality,28.09756,81.87933,210.0
Nepalgunj Sub-Metropolitian City,28.05,81.61667,149.0
Bansagadhi Municipality,28.35832,81.73851,475.0
Barbardiya Municipality,28.32224,81.3977,158.0
Gulariya Municipality,28.2058,81.34532,147.0
Madhuwan Municipality,28.33577,81.2707,162.0
Rajapur Municipality,28.42721,81.09123,145.0
Thakurbaba Municipality,28.4436,81.28988,184.0
Badhaiyatal Rural Municipality,28.15209,81.48387,145.0
Geruwa Rural Municipality,28.49915,81.1873,162.0
Lamahi Municipality,27.87183,82.52079,258.0
Babai Rural Municipality,28.16829,82.08431,598.0
Banglachuli Rural Municipality,27.99384,82.67143,1529.0
Dangisharan Rural Municipality,28.08608,82.15646,580.0
Gadhawa Rural Municipality,27.81001,82.53929,256.0
Rajpur Rural Municipality,27.88404,82.23904,532.0
Rapti Rural Municipality,27.968780912,82.402294235,821.0
Shantinagar Rural Municipality,28.15982,82.22356,667.0
Ghorahi Sub-Metropolitian City,27.67465,85.32364,1326.0
Tulsipur Sub-Metropolitian City,28.15346,82.31172,745.0
Musikot Municipality,28.17156,83.25859,1213.0
Resunga Municipality,28.05267,83.25598,1500.0
Chandrakot Rural Municipality,28.1153,83.4355,1736.0
Chatrakot Rural Municipality,27.98666,83.34978,1180.0
Dhurkot Rural Municipality,28.11827,83.16532,1245.0
Gulmidarbar Rural Municipality,28.0416,83.31386,1170.0
Isma Rural Municipality,28.16501,83.21671,1295.0
Kaligandaki Rural Municipality,28.05226,83.52767,1360.0
Madane Rural Municipality,28.17505,83.06921,1495.0
