Location,T2M,RH2M,PRECTOTCORR,T2MWET,TS,WS10M_MAX
Bijaynagar_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Majhakot_1_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Dharmawati_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
bakula_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Maranthana_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Shiva mandir_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Jhhurmikanda_std,5.833030507567936,22.791090873477977,8.43781234857299,6.70738166341805,7.067666183190514,1.5631221243177507
Bethan_std,5.039266965344259,23.29263312976164,5.663098033282638,6.594903121518562,6.471021329992577,1.038536117419076
Diamba_std,5.039266965344259,23.29263312976164,5.663098033282638,6.594903121518562,6.471021329992577,1.038536117419076
Khadadevi_std,5.039266965344259,23.29263312976164,5.663098033282638,6.594903121518562,6.471021329992577,1.038536117419076
Gaylu_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Sanosailung_std,5.039266965344259,23.29263312976164,5.663098033282638,6.594903121518562,6.471021329992577,1.038536117419076
Tokalpur_std,5.039266965344259,23.29263312976164,5.663098033282638,6.594903121518562,6.471021329992577,1.038536117419076
Pinkhuri_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Bhirpani_std,5.039266965344259,23.29263312976164,5.663098033282638,6.594903121518562,6.471021329992577,1.038536117419076
baluwajor_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Ramechhap_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Rampur_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Saghutar_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Manthali_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Saipu_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Namadi_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Betali_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Gupteswor_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Those_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Kyama_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Chuchure_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Gundel_std,4.882630749800956,22.312594515324765,4.562027887943775,6.734910823745355,6.391142986601547,0.9883257825660309
Bhorley_std,5.01981009923668,23.505590326308216,5.499470379840921,6.8527893833197675,6.398080455025827,0.9944973123168018
yarsa_std,5.01981009923668,23.505590326308216,5.499470379840921,6.8527893833197675,6.398080455025827,0.9944973123168018
Ramche_1_std,5.01981009923668,23.505590326308216,5.499470379840921,6.8527893833197675,6.398080455025827,0.9944973123168018
haku_std,5.01981009923668,23.505590326308216,5.499470379840921,6.8527893833197675,6.398080455025827,0.9944973123168018
Dhunche_std,5.01981009923668,23.505590326308216,5.499470379840921,6.8527893833197675,6.398080455025827,0.9944973123168018
Syafru_std,5.279778360030248,22.60810729199529,4.328383132467373,7.13755136445227,6.893731443855452,0.9797519068474158
Thulosyafru_std,5.279778360030248,22.60810729199529,4.328383132467373,7.13755136445227,6.893731443855452,0.9797519068474158
Safrubesi_std,5.279778360030248,22.60810729199529,4.328383132467373,7.13755136445227,6.893731443855452,0.9797519068474158
thuman_std,6.963336770043908,17.110420949532884,3.310135955228509,7.904307918753982,8.756811071476122,1.7729396150425
Gompa_std,5.279778360030248,22.60810729199529,4.328383132467373,7.13755136445227,6.893731443855452,0.9797519068474158
Lantang_std,5.279778360030248,22.60810729199529,4.328383132467373,7.13755136445227,6.893731443855452,0.9797519068474158
Rajdevi_std,5.679064990391542,22.967457768140243,6.682897191826078,6.875313905254976,6.543956469348638,1.547464973185533
Rajpur_std,6.022593290882997,23.097989516683285,7.186304791285466,6.989446834265917,6.864765893387417,1.7211807297339714
Pataura_std,6.022593290882997,23.097989516683285,7.186304791285466,6.989446834265917,6.864765893387417,1.7211807297339714
Bariyarpur_1_std,5.679064990391542,22.967457768140243,6.682897191826078,6.875313905254976,6.543956469348638,1.547464973185533
Samanpur_std,5.679064990391542,22.967457768140243,6.682897191826078,6.875313905254976,6.543956469348638,1.547464973185533
Simara_std,6.022593290882997,23.097989516683285,7.186304791285466,6.989446834265917,6.864765893387417,1.7211807297339714
Bisrampur_std,5.679064990391542,22.967457768140243,6.682897191826078,6.875313905254976,6.543956469348638,1.547464973185533
Santapur_std,5.679064990391542,22.967457768140243,6.682897191826078,6.875313905254976,6.543956469348638,1.547464973185533
Sanakpur_std,6.022593290882997,23.097989516683285,7.186304791285466,6.989446834265917,6.864765893387417,1.7211807297339714
Ashrang_std,6.022593290882997,23.097989516683285,7.186304791285466,6.989446834265917,6.864765893387417,1.7211807297339714
Paurai_std,5.679064990391542,22.967457768140243,6.682897191826078,6.875313905254976,6.543956469348638,1.547464973185533
Chandrapur_std,5.679064990391542,22.967457768140243,6.682897191826078,6.875313905254976,6.543956469348638,1.547464973185533
Bandevi_std,6.022593290882997,23.097989516683285,7.186304791285466,6.989446834265917,6.864765893387417,1.7211807297339714
Masina_std,5.833030507567936,22.791090873477977,8.43781234857299,6.70738166341805,7.067666183190514,1.5631221243177507
Nuwagaon_std,5.833030507567936,22.791090873477977,8.43781234857299,6.70738166341805,7.067666183190514,1.5631221243177507
Kubine_std,5.439689236394649,21.94121292003624,7.7444839531158465,6.742636537271718,6.89789216251032,1.1939429779416064
